Distrito,puntos_luz_tot,potencial_total_kw_tot,puntos_luz_vapor,potencial_total_kw_vapor,puntos_luz_led,potencial_total_kw_led,puntos_luz_otros,potencial_total_kw_otros,Perimetro (m),Superficie (m2),poblacion,val_catastral_inmueble (EUR),numero_inmueble,renta_familiar_2011 (EUR)
 Moncloa - Aravaca,15425,2418,13956,2333,1453,83,16,2,41015,46531134,115713,18153144670,78585,23941
 Hortaleza,19054,3001,18683,2985,371,16,0,0,26944,27414593,172705,17983258729,124513,23229
 Villa de Vallecas,9977,1952,9948,195,5,1,24,1,33553,51417806,98767,6634670394,72471,20402
 Centro,12595,1961,1007,1807,2435,142,90,12,10304,5231264,134271,23450055662,109747,23084
 Vicálvaro,6058,1039,573,1025,296,13,32,1,34157,35193627,69729,3920380080,40334,19537
 Chamartín,12055,2285,1175,2267,261,15,44,3,13401,9170122,142684,22288068875,103452,25815
 San Blas-Canillejas,12141,1961,11987,1956,123,4,31,1,26698,22370042,153372,11551936114,104607,21556
 Moratalaz,7444,1186,6692,1163,752,23,0,0,10824,6110071,96171,4753589251,49695,21231
 Villaverde,10603,1519,10045,1489,558,30,0,0,18390,20176220,142040,5766028532,81933,16970
 Usera,9376,1349,7041,122,2327,126,8,3,11860,7755083,133655,5781321936,71267,16691
 Fuencarral - El Pardo,16285,2702,15592,2666,667,35,26,1,94525,237810357,232651,23485639153,161021,23371
 Latina,16153,2068,13514,1924,2632,141,7,3,28169,25417269,237953,10448897696,141081,19333
 Puente de Vallecas,15208,2438,15069,2432,14,1,125,5,17293,15005833,228739,8916395024,127979,16730
 Salamanca,9297,1342,6869,1192,2204,135,224,15,10862,5387243,143598,27452761078,111879,26265
 Retiro,7442,1266,6436,1206,896,56,110,4,9523,5465307,118743,14164125493,80065,26409
 Ciudad Lineal,12192,187,10799,1818,1265,46,128,6,21524,11425706,214256,15530807280,147524,22182
 Tetuán,8069,1242,7573,1217,273,14,223,11,9925,5388121,152523,15955510891,123086,22025
 Arganzuela,7508,1352,6811,1306,689,42,8,4,12834,6466400,151608,13126484283,114113,23356
 Barajas,518,821,4759,803,390,17,31,1,28708,41908185,45586,6187938620,33876,25297
 Carabanchel,1489,1885,12347,1749,2539,134,4,2,18083,14048399,242780,12053784429,151357,18049
 Chamberí,0,831,4622,750,950,63,98,18,9020,4674105,138586,20250214691,105083,25984
